Stock Name:Reliance Industries Ltd.,As on 30-Jun-26

Sector,No. of Funds,No. of Shares,No. of Shares,No. of Shares,No. of Shares
,,`Jun-26,`May-26,`Apr-26,`Mar-26
Energy,644,1351744321,1353376795,1302381102,1297994364


`Fund Name,`Fund Manager,`Jun-26,`Jun-26,`Jun-26,`May-26,`Apr-26,`Mar-26
,,AUM (in Rs. cr),% of AUM,No. of Shares,No. of Shares,No. of Shares,No. of Shares
ICICI Pru Nifty Oil & Gas ETF,Nishit Patel,293.1,33.10,749851,702984 ,633924,605361
Kotak MSCI India ETF,Satish Dondapati,1596.9,6.06,747352,740495 ,721437,708809
Canara Rob Multi Cap Fund-Reg(G),Shridatta Bhandwaldar,5500.4,1.73,735000,735000 ,735000,735000
Mirae Asset Multi Asset Allocation Fund-Reg(G),Harshad Borawake,3478.1,2.69,722678,604178 ,604178,565678
Kotak Nifty 50 Index Fund-Reg(G),Satish Dondapati,1143.5,7.97,704504,695094 ,678179,630262
Bandhan Balanced Advantage Fund-Reg(G),Manish Gunwani,2236.4,4.06,702107,708193 ,676527,541228
Tata Multicap Fund-Reg(G),Meeta Shetty,3455.4,2.62,700000,700000 ,700000,700000
ICICI Pru Retirement Fund-Pure Equity Plan(G),Sanket Gaidhani,1997.8,4.53,699489,603489 ,455773,321073
Nippon India Index Fund-BSE Sensex Plan(G),Himanshu Mange,918.4,9.62,682644,682564 ,680949,674401
DSP NIFTY 50 Index Fund-Reg(G),Anil Ghelani,1096.1,7.96,674152,668340 ,665790,596990
Tata Focused Fund-Reg(G),Anand Sharma,1760.3,4.95,672884,645748 ,645748,645748
Sundaram Balanced Advantage Fund(G),S. Bharath,1663.7,5.19,667922,682652 ,580912,577037
JM Flexicap Fund-Reg(G),Satish Ramanathan,5177.9,1.66,665000,665000 ,665000,1200000
